kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnavatelé - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: osoby pracující na vlastní účet - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - věk: 15 - 24  - celkem,Obyvatelstvo - zaměstnaní - věk: 25 - 34  - celkem,Obyvatelstvo - zaměstnaní - věk: 35 - 44  - celkem,Obyvatelstvo - zaměstnaní - věk: 45 - 54  - celkem,Obyvatelstvo - zaměstnaní - věk: 55 - 59  - celkem,Obyvatelstvo - zaměstnaní - věk: 60 - 64  - celkem,Obyvatelstvo - zaměstnaní - věk: 65 a více  - celkem
50011959,23,18,1,2,2,1,5,10,2,2,0,3
50011960,1455,1064,3,242,146,98,318,371,337,148,68,115
50011961,20,14,0,3,3,2,4,6,3,3,1,1
50011962,1337,966,7,218,146,93,271,348,291,145,68,121
50011963,380,274,2,70,34,21,78,97,105,27,18,34
50011965,81,59,0,13,9,7,16,18,19,9,10,2
50011966,1218,863,8,226,121,70,227,303,318,102,62,136
50011967,1474,971,16,339,148,77,301,382,310,141,111,152
50011969,2150,1482,11,448,209,134,591,588,424,178,96,139
50011970,1324,894,10,278,142,79,268,304,324,128,88,133
1287240,0,0,0,0,0,0,0,0,0,0,0,0
3058710,0,0,0,0,0,0,0,0,0,0,0,0
3058800,0,0,0,0,0,0,0,0,0,0,0,0
3058980,0,0,0,0,0,0,0,0,0,0,0,0
3059010,0,0,0,0,0,0,0,0,0,0,0,0
3163420,0,0,0,0,0,0,0,0,0,0,0,0
3207730,0,0,0,0,0,0,0,0,0,0,0,0
50014301,633,387,3,162,81,44,170,145,128,55,40,51
50014302,143,93,0,27,23,12,35,31,38,12,6,9
50014303,218,133,3,54,28,14,35,52,59,23,14,21
50014304,2013,1499,17,323,174,110,420,488,402,239,178,176
50014305,494,315,4,124,51,32,91,113,126,42,51,39
50014306,2326,1741,13,334,238,177,508,449,689,262,143,98
50014307,1040,773,4,179,84,71,317,318,164,81,48,41
50014309,1363,995,8,234,126,83,417,357,319,83,56,48
50014310,41,26,0,12,3,3,4,8,11,8,2,5
50014311,32,17,0,11,4,4,5,8,6,5,2,2
50014312,356,269,1,56,30,22,74,93,94,32,22,19
50014313,2033,1485,10,353,185,132,412,472,455,257,171,134
50014314,14,9,1,2,2,2,0,0,4,2,4,2
50014315,986,643,9,236,98,47,189,306,224,75,59,86
50014317,305,226,1,54,24,22,125,92,42,11,6,7
