kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - státní občanství: Česká republika - celkem,Obyvatelstvo - státní občanství: Česká republika - muži,Obyvatelstvo - státní občanství: Česká republika - ženy,Obyvatelstvo - státní občanství: Slovenská republika - celkem,Obyvatelstvo - státní občanství: Slovenská republika - muži,Obyvatelstvo - státní občanství: Slovenská  republika - ženy,Obyvatelstvo - státní občanství: země EU mimo ČR - celkem,Obyvatelstvo - státní občanství: země EU mimo ČR - muži,Obyvatelstvo - státní občanství: země EU mimo ČR - ženy,Obyvatelstvo - bez státního občanství - celkem,Obyvatelstvo - bez státního občanství - muži,Obyvatelstvo - bez státního občanství - ženy,Obyvatelstvo - státní občanství: nezjištěno - celkem,Obyvatelstvo - státní občanství: nezjištěno - muži,Obyvatelstvo - státní občanství: nezjištěno - ženy
55099012,1818,878,940,1653,800,853,35,14,21,45,20,25,0,0,0,31,14,17
55099013,1155,565,590,1096,532,564,9,7,2,18,12,6,0,0,0,11,1,10
55100701,1536,740,796,1288,601,687,12,7,5,36,23,13,0,0,0,18,10,8
55100702,2083,994,1089,1896,883,1013,32,21,11,44,29,15,0,0,0,53,35,18
55100703,89,57,32,65,38,27,2,2,0,3,3,0,0,0,0,0,0,0
55100704,4337,2110,2227,3949,1872,2077,79,41,38,127,74,53,0,0,0,70,40,30
55100705,3330,1639,1691,3045,1474,1571,50,28,22,91,57,34,0,0,0,40,20,20
55100706,1198,598,600,989,485,504,38,21,17,76,48,28,0,0,0,19,10,9
55100707,4645,2164,2481,4263,1939,2324,94,54,40,127,77,50,0,0,0,48,24,24
55100708,951,468,483,893,440,453,12,7,5,19,9,10,0,0,0,7,3,4
55100709,42,35,7,10,4,6,2,2,0,2,2,0,0,0,0,0,0,0
55100710,980,609,371,411,222,189,24,14,10,28,17,11,0,0,0,161,113,48
55100711,1928,943,985,1620,792,828,49,24,25,76,44,32,0,0,0,35,19,16
55100713,3762,1777,1985,3354,1562,1792,75,40,35,113,65,48,0,0,0,71,35,36
55100714,438,219,219,348,163,185,16,10,6,20,11,9,0,0,0,7,3,4
55100715,1656,814,842,1482,719,763,31,22,9,52,35,17,0,0,0,31,14,17
55100716,961,485,476,782,385,397,39,21,18,57,36,21,0,0,0,34,19,15
55100717,30,16,14,26,14,12,1,1,0,1,1,0,0,0,0,0,0,0
55100718,47,25,22,47,25,22,0,0,0,0,0,0,0,0,0,0,0,0
55100719,1339,674,665,1190,597,593,63,31,32,83,42,41,0,0,0,16,9,7
55100720,442,137,305,430,128,302,4,2,2,6,4,2,0,0,0,0,0,0
55100721,361,189,172,249,133,116,10,4,6,18,8,10,0,0,0,14,7,7
55101501,98,48,50,96,48,48,0,0,0,2,0,2,0,0,0,0,0,0
55101502,291,146,145,288,145,143,0,0,0,1,0,1,0,0,0,0,0,0
55102301,56,30,26,56,30,26,0,0,0,0,0,0,0,0,0,0,0,0
55102302,68,38,30,67,38,29,1,0,1,1,0,1,0,0,0,0,0,0
55102303,30,13,17,28,12,16,0,0,0,2,1,1,0,0,0,0,0,0
55102304,77,41,36,77,41,36,0,0,0,0,0,0,0,0,0,0,0,0
55103101,1978,962,1016,1875,902,973,26,12,14,33,18,15,0,0,0,11,6,5
55103102,2080,1039,1041,1768,858,910,45,23,22,81,44,37,0,0,0,19,8,11
55103103,524,280,244,425,220,205,6,4,2,13,7,6,0,0,0,1,0,1
55103104,2333,1208,1125,1824,887,937,39,15,24,63,29,34,0,0,0,41,21,20
55103105,6196,2847,3349,5898,2697,3201,86,36,50,112,51,61,0,0,0,29,13,16
55103106,3503,1656,1847,3357,1579,1778,36,16,20,65,36,29,0,0,0,14,6,8
55103107,497,241,256,483,236,247,2,0,2,3,1,2,0,0,0,2,1,1
55103108,4106,1843,2263,3934,1745,2189,52,31,21,66,40,26,0,0,0,25,15,10
55103109,1679,786,893,1600,747,853,27,14,13,34,17,17,0,0,0,13,7,6
55103110,2494,1210,1284,2446,1187,1259,18,5,13,25,10,15,0,0,0,2,1,1
55103111,2241,1006,1235,2146,955,1191,33,13,20,40,18,22,0,0,0,9,5,4
55103112,2201,1050,1151,2104,993,1111,24,10,14,32,16,16,0,0,0,18,9,9
55103113,3220,1524,1696,3045,1427,1618,50,23,27,71,36,35,0,0,0,34,19,15
55103114,4437,2119,2318,4142,1978,2164,71,26,45,110,47,63,0,0,0,44,20,24
55103115,2421,1136,1285,2215,1026,1189,51,29,22,77,49,28,0,0,0,34,15,19
55103116,1172,555,617,1124,532,592,10,3,7,10,3,7,0,0,0,4,2,2
55103117,2006,987,1019,1819,868,951,41,25,16,68,47,21,0,0,0,35,19,16
55103118,49,48,1,11,10,1,0,0,0,0,0,0,0,0,0,1,1,0
55103119,434,233,201,326,171,155,2,2,0,11,9,2,0,0,0,10,6,4
55103120,2734,1329,1405,2370,1135,1235,86,44,42,123,67,56,0,0,0,40,19,21
55103121,1645,884,761,1305,683,622,44,27,17,57,36,21,0,0,0,44,24,20
55103122,432,208,224,382,182,200,13,5,8,14,6,8,0,0,0,2,2,0
55104001,160,77,83,159,76,83,0,0,0,0,0,0,0,0,0,0,0,0
55104003,26,12,14,25,11,14,0,0,0,1,1,0,0,0,0,0,0,0
55104004,48,27,21,48,27,21,0,0,0,0,0,0,0,0,0,0,0,0
55104007,70,33,37,69,33,36,1,0,1,1,0,1,0,0,0,0,0,0
55105801,1533,745,788,1428,699,729,19,7,12,27,12,15,0,0,0,7,2,5
55105802,1487,668,819,1416,630,786,24,10,14,30,15,15,0,0,0,8,5,3
55105803,2833,1387,1446,2611,1256,1355,58,29,29,77,44,33,0,0,0,19,10,9
55105804,75,36,39,73,35,38,2,1,1,2,1,1,0,0,0,0,0,0
55105805,2787,1351,1436,2528,1217,1311,38,19,19,54,29,25,0,0,0,27,14,13
